,Team,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW1-16 xCS
1,MCI,0.4952051247870538,0.5886783756934503,0.5585421484080088,0.5214040117868393,0.6009750573089213,0.5160080715277642,0.36132395238796755,0.6037697854116976,0.4590131754654672,0.5182399740660114,0.3026305659483475,0.4143820693206616,0.5640302124172244,0.46300273342208836,0.5451091473028667,0.5211735174734947,8.033487922727867
2,LIV,0.5676049608858674,0.5050390499339992,0.48346345700102655,0.5736004323052903,0.5267127615594263,0.6054371439613699,0.5738467174641338,0.3864751499607883,0.5484337070631423,0.4219634067216019,0.24886347751270982,0.4613570365618732,0.6217203861317933,0.5130918023334121,0.38668900138699747,0.5018247245867143,7.926123215370147
3,CHE,0.5085528780806204,0.26823075431992377,0.44929041766864636,0.35186414491989126,0.43748713094358377,0.38546592954308556,0.46620297100856495,0.1976401400760079,0.4408491051733505,0.5043815337091723,0.41760966699474,0.4406040135757191,0.36547122044087016,0.4866455733001868,0.30270311553225554,0.46362854524057034,6.486627140527189
4,TOT,0.39433842735105495,0.2696488058824397,0.47257877111582675,0.5193337727307863,0.3871549949164703,0.42359102432239853,0.18157014203976582,0.318572859629208,0.3043667444589322,0.478620979941873,0.46714399427140385,0.3671623583459625,0.4209590186809857,0.5057009604194196,0.1693837485030314,0.4063340258104222,6.086460628419981
5,ARS,0.43269577248897,0.2990953443565286,0.5058001243769881,0.40399133255580666,0.3544830229253319,0.36726816708437443,0.44794042523699884,0.4324497325311469,0.21857880450467715,0.15358271200308019,0.4411716392681414,0.13798667373827256,0.4293210620547467,0.46737632012546354,0.26975045798031083,0.5060664611876898,5.867558052418528
6,CRY,0.22907223032988855,0.16562471245884916,0.33061295233181426,0.1494492278709929,0.35385474737065004,0.4163805487624791,0.288998596283066,0.44002307409111185,0.19715466971395118,0.36272036517788026,0.3139999857977338,0.4299644472738658,0.46267158087289895,0.3506848931455069,0.34742273272395796,0.4819212221927428,5.32055598639739
7,NEW,0.4274611620064574,0.39779637506000004,0.10936614241341752,0.4264312655354444,0.13278851604844724,0.3372447193132039,0.30509324374581825,0.41296302890936104,0.3765357442986355,0.33699592499267705,0.28551276698013356,0.40764791117497606,0.19423503072230186,0.313857897337454,0.3471108881685161,0.18267140766649737,4.993712024373341
8,AVL,0.3795154198771189,0.4404293099122795,0.3039921492817293,0.3247197649326904,0.18445952312643643,0.1323503866752561,0.22821795447313675,0.36694547594139504,0.31249116725778586,0.39413597677661466,0.21149981054779898,0.32973757758400346,0.3701182230788248,0.3270937158760346,0.3049400949481901,0.3509654168235268,4.961611967112821
9,BHA,0.300184062916186,0.3496780179984604,0.31992125006865313,0.33498001381604786,0.39152899058700813,0.24927888451328004,0.44093204167938305,0.3264066455263214,0.14395055721289693,0.17375002264274875,0.36528097519311775,0.4166816632535016,0.12885474974876063,0.1735730683163121,0.4412109880304162,0.3031160346487822,4.859327966151875
10,BRE,0.2582394882113222,0.18303241124444564,0.3618034932715167,0.30960849820005876,0.33583037007378325,0.24975426210071486,0.3324227964169691,0.13318925192224143,0.4115533122084616,0.35914429112194546,0.2868498972736438,0.10847400653720053,0.3124547922087494,0.3151745316393896,0.42605879208901376,0.10843431865727039,4.492024513176727
11,WHU,0.07218569215323921,0.4241364423969656,0.32135208835645457,0.31053416151466323,0.13291478710902072,0.17984041754939087,0.2977237763867649,0.4043009711400267,0.35007250771392495,0.3003337249422737,0.3304879206582867,0.12091871858872814,0.34978861970110064,0.26938782433908876,0.2749955629007178,0.20152581588393106,4.340499031334577
12,MUN,0.310513828127898,0.3452232981039768,0.07718530223900452,0.34205759011237874,0.267470646631954,0.15137177969543106,0.345472512427247,0.2727449716064466,0.11486738464007008,0.41584126114772524,0.2870191905597304,0.12505055953974964,0.1896897439539152,0.22176263518166406,0.32202794759930703,0.3714727671018893,4.159771418668388
13,WOL,0.2915044822328872,0.3302150352036599,0.13909567378691598,0.32757078443406684,0.3581630948165056,0.3010992243949921,0.08800175214244928,0.08881089375089211,0.23953997306734617,0.13893601708366643,0.39461485859558054,0.28310928624652415,0.2286581276036199,0.2828668217866098,0.35144501422786045,0.1848666139975672,4.028497653371144
14,LEI,0.2401342301013713,0.14190991687136068,0.23718526967598721,0.11632515429736313,0.18184904984814113,0.2983434375275535,0.21874496996005868,0.11647086530430073,0.328020453680516,0.3265509470990654,0.24036677461573433,0.24843429815795967,0.32683332719415326,0.0548836155728625,0.3212414158147203,0.2106327833920225,3.6079265091131707
15,FUL,0.06511563537341668,0.3461251371993324,0.2418901636534942,0.15685561925240377,0.28731844669069045,0.13004824216579738,0.10878936704235373,0.3604690939006598,0.264195353675935,0.22814848492355988,0.31536929290874793,0.22044950858378595,0.27950659361441504,0.3100832793152481,0.07016458514738284,0.18343906604888413,3.567967869496107
16,SOU,0.12869736877471727,0.23878250515745778,0.19643334639941168,0.17323927850242954,0.10094539912167724,0.34425045052508935,0.23058184148746613,0.2470035861690693,0.2980738049842532,0.06921677248099274,0.19007958157052265,0.3439668251403128,0.12477189506088844,0.26938113414137294,0.2525947517109786,0.0799679508959147,3.287986492122555
17,EVE,0.08684440588862265,0.23314233330115672,0.2947536163843543,0.2549399461432984,0.2633761478235381,0.0493404111593173,0.14387488016376718,0.17046075092209043,0.25193969415966094,0.15441582825131936,0.11824799181189544,0.2775406855568337,0.20964232139051142,0.2801153213371813,0.143916206154221,0.32913503086451895,3.2616855713122868
18,NFO,0.2579250676761989,0.17565988857669673,0.3036000540151892,0.0906506014184405,0.05287488827851709,0.28661209861594245,0.244029526592008,0.2390774981071128,0.16670079787991424,0.19449103200577264,0.3091501289977022,0.2809243817586368,0.05192711585230836,0.12877594375913995,0.21505444698881643,0.21527881604617638,3.2127322865685723
19,BOU,0.17953191092907755,0.04633091355691027,0.10159833228032769,0.05470176035772173,0.26990268926603,0.30735954432382784,0.24255959624200235,0.2426863860042317,0.19949132519229953,0.13550467852459458,0.24517459836165004,0.1967252590552697,0.1811195006139417,0.08061352992909476,0.22904106363944707,0.2645024705708394,2.976843558847266
20,LEE,0.25547516151477584,0.21233867080168337,0.07242238315042812,0.25924770068430253,0.2501514497367781,0.2151830948429871,0.2691728048081444,0.15950688047453604,0.16705364213315882,0.2154075107149907,0.09230591589420162,0.14884297360353632,0.209324627217974,0.05198691824088954,0.2552058407799888,0.09073532571713801,2.9243609003155133
